,Sample,208Pb,,23Na,25Mg,27Al,28Si,31P,PO4,34S,35Cl,39K,43Ca,47Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,65Cu,66Zn,75As,78Se,88Sr,95Mo,107Ag,111Cd,112Sn,137Ba,238U,bottle_number,date_collected
0,2,1.845,,4636,7691,15.75,1412.0,1223.0,3.7487694543106236,22.88,10.63,1058.0,26470.0,2.043,0.5,0.5,18.23,0.5,0.5,0.5,18.42,6.53,0.5,0.5,89.23,0.5,0.5,0.5,0.5,13.16,0.5,bottle3,2016-03-01
1,4,0.5,,4689,7875,1.445,1345.0,1092.0,3.347225056506297,21.25,9.551,993.1,27540.0,2.139,0.5,0.5,58.44,4.022,0.5,0.5,42.36,3.43,0.5,0.5,89.65,0.5,0.5,0.5,0.5,10.46,0.5,bottle3,2016-03-01
2,7,0.5,,4476,7550,11.73,1433.0,1172.0,3.5924430093639006,22.67,9.868,1014.0,26440.0,1.88,0.5,0.5,37.74,0.5,0.5,0.5,20.69,1.402,0.5,0.5,87.32,0.5,0.5,0.5,0.5,12.6,0.5,bottle3,2016-03-01
3,8,3.22,,4620,7765,17.81,1297.0,1316.0,4.033835324507589,22.32,9.621,973.7,27560.0,2.952,0.5,0.5,136.3,2.147,0.5,3.872,8.829,4.144,0.5,0.5,91.52,0.5,0.5,0.5,0.5,13.17,0.5,bottle3,2016-03-01
4,9,0.5,,4489,7799,18.1,1368.0,1254.0,3.8437914110429454,22.04,9.921,1021.0,26260.0,2.41,0.5,0.5,20.13,1.016,0.5,0.5,12.0,10.5,0.5,0.5,87.21,0.5,0.5,0.5,0.5,12.99,0.5,bottle3,2016-03-01
5,12,0.5,,4411,7418,9.949,1384.0,1164.0,3.5679212140781407,22.4,9.703,998.3,26370.0,1.97,0.5,0.5,17.61,0.5,0.5,0.5,4.04,5.668,0.5,0.5,87.08,0.5,0.5,0.5,0.5,13.01,0.5,bottle3,2016-03-01
6,15,0.5,,4432,7867,12.31,1361.0,1129.0,3.4606383597029384,22.67,9.717,1002.0,26570.0,2.048,0.5,0.5,159.5,3.834,0.5,0.5,8.155,7.21,0.5,0.5,87.4,0.5,0.5,0.5,0.5,11.89,0.5,bottle3,2016-03-01
7,16,1.141,,4386,7835,25.58,1364.0,1200.0,3.6782692928640626,21.65,9.467,992.7,26120.0,2.146,0.5,0.5,143.2,1.46,0.5,0.5,3.292,28.44,0.5,0.5,86.84,0.5,0.5,0.5,0.5,12.83,0.5,bottle3,2016-03-01
8,17,0.5,,4401,7555,16.2,1390.0,1160.0,3.55566031643526,22.16,9.745,992.5,25940.0,1.998,0.5,0.5,56.64,1.925,0.5,0.5,3.112,45.77,0.5,0.5,86.53,0.5,0.5,0.5,0.5,11.88,0.5,bottle3,2016-03-01
9,18,0.5,,4440,7537,12.32,1382.0,1230.0,3.7702260251856643,22.41,9.81,1001.0,25550.0,2.014,0.5,0.5,5.787,0.5,0.5,0.5,1.226,20.67,0.5,0.5,86.14,0.5,0.5,0.5,0.5,13.02,0.5,bottle3,2016-03-01
